date,open,high,low,close,volume
2018-12-27,10.0400,10.0400,10.0400,10.0400,0
2018-12-26,10.0400,10.0394,10.0400,10.0400,0
2018-12-24,10.0400,10.0400,10.0400,10.0400,0
2018-12-21,10.0400,10.0400,10.0400,10.0400,0
2018-12-20,10.0400,10.0400,10.0400,10.0400,0
2018-12-19,10.0400,10.0400,10.0400,10.0400,0
2018-12-18,10.0400,10.0400,10.0400,10.0400,0
2018-12-17,10.0400,10.0400,10.0400,10.0400,0
2018-12-14,10.0400,10.0400,10.0400,10.0400,0
2018-12-13,10.0400,10.0400,10.0400,10.0400,0
2018-12-12,10.0400,10.0400,10.0400,10.0400,0
2018-12-11,10.0400,10.0400,10.0400,10.0400,0
2018-12-10,10.0400,10.0400,10.0400,10.0400,0
2018-12-07,10.0400,10.0400,10.0400,10.0400,0
2018-12-06,10.0400,10.0400,10.0400,10.0400,0
2018-12-04,10.0400,10.0400,10.0400,10.0400,0
2018-12-03,10.0400,10.0400,10.0400,10.0400,0
2018-11-30,10.0400,10.0400,10.0400,10.0400,0
2018-11-29,10.0400,10.0402,10.0400,10.0400,0
2018-11-28,10.0400,10.0400,10.0400,10.0400,0
2018-11-27,10.0400,10.0400,10.0400,10.0400,0
2018-11-26,10.0400,10.0400,10.0400,10.0400,0
2018-11-23,10.0400,10.0400,10.0400,10.0400,0
2018-11-21,10.0400,10.0400,10.0400,10.0400,0
2018-11-20,10.0400,10.0400,10.0400,10.0400,0
2018-11-19,10.0405,10.0400,10.0400,10.0400,0
2018-11-16,10.0400,10.0400,10.0400,10.0400,0
2018-11-15,10.0400,10.0400,10.0400,10.0400,0
2018-11-14,10.0400,10.0400,10.0400,10.0400,0
2018-11-13,10.0400,10.0400,10.0408,10.0400,0
2018-11-12,10.0400,10.0400,10.0400,10.0400,0
2018-11-09,10.0400,10.0400,10.0400,10.0400,0
2018-11-08,10.0400,10.0407,10.0400,10.0400,0
2018-11-07,10.0400,10.0400,10.0400,10.0400,0
2018-11-06,10.0400,10.0400,10.0400,10.0400,0
2018-11-05,10.0400,10.0400,10.0400,10.0400,0
2018-11-02,10.0400,10.0400,10.0395,10.0400,0
2018-11-01,10.0396,10.0400,10.0400,10.0400,0
2018-10-31,10.0400,10.0400,10.0400,10.0400,0
2018-10-30,10.0400,10.0400,10.0400,10.0400,0
2018-10-29,10.0400,10.0400,10.0400,10.0400,0
2018-10-26,10.0404,10.0400,10.0400,10.0400,0
2018-10-25,10.0400,10.0400,10.0402,10.0400,0
2018-10-24,10.0400,10.0400,10.0400,10.0400,0
2018-10-23,10.0400,10.0400,10.0400,10.0400,0
2018-10-22,10.0400,10.0400,10.0400,10.0400,0
2018-10-19,10.0400,10.0400,10.0400,10.0400,0
2018-10-18,10.0400,10.0408,10.0400,10.0400,0
2018-10-17,10.0400,10.0400,10.0400,10.0400,0
2018-10-16,10.0400,10.0400,10.0400,10.0400,0
2018-10-15,10.0400,10.0400,10.0395,10.0400,0
2018-10-12,10.0400,10.0400,10.0400,10.0400,0
2018-10-11,10.0400,10.0400,10.0400,10.0400,0
2018-10-10,10.0400,10.0400,10.0400,10.0400,0
2018-10-09,10.0400,10.0400,10.0400,10.0400,0
2018-10-08,10.0400,10.0400,10.0400,10.0400,0
2018-10-05,10.0400,10.0400,10.0400,10.0400,0
2018-10-04,10.0400,10.0400,10.0400,10.0400,0
2018-10-03,10.0400,10.0400,10.0400,10.0400,0
2018-10-02,10.0400,10.0400,10.0400,10.0400,0
2018-10-01,10.0400,10.0400,10.0400,10.0400,0
2018-09-28,10.0400,10.0400,10.0400,10.0400,0
2018-09-27,10.0400,10.0400,10.0400,10.0400,0
2018-09-26,10.0400,10.0400,10.0400,10.0400,0
2018-09-25,10.0400,10.0400,10.0400,10.0400,0
2018-09-24,10.0400,10.0400,10.0400,10.0400,0
2018-09-21,10.0400,10.0400,10.0400,10.0400,0
2018-09-20,10.0400,10.0400,10.0400,10.0400,0
2018-09-19,10.0400,10.0400,10.0400,10.0400,0
2018-09-18,10.0400,10.0400,10.0400,10.0400,0
2018-09-17,10.0400,10.0395,10.0400,10.0400,0
2018-09-14,10.0400,10.0400,10.0400,10.0400,0
2018-09-13,10.0400,10.0400,10.0400,10.0400,0
2018-09-12,10.0400,10.0400,10.0400,10.0400,0
2018-09-11,10.0397,10.0400,10.0400,10.0400,0
2018-09-10,10.0400,10.0400,10.0400,10.0400,0
2018-09-07,10.0400,10.0400,10.0400,10.0400,0
2018-09-06,10.0400,10.0400,10.0400,10.0400,0
2018-09-05,10.0400,10.0400,10.0400,10.0400,0
2018-09-04,10.0400,10.0400,10.0400,10.0400,0
2018-08-31,10.0400,10.0400,10.0399,10.0400,0
2018-08-30,10.0400,10.0400,10.0400,10.0400,0
2018-08-29,10.0400,10.0400,10.0400,10.0400,0
2018-08-28,10.0400,10.0400,10.0400,10.0400,0
2018-08-27,10.0400,10.0400,10.0400,10.0400,0
2018-08-24,10.0400,10.0400,10.0400,10.0400,0
2018-08-23,10.0400,10.0400,10.0400,10.0400,0
